name,address,size,end,classification,confidence
func_00103BD0,0x00103BD0,0x10,0x00103BE0,code,spimdisasm-explicit-size-before-first-data
func_00103BE0,0x00103BE0,0x10,0x00103BF0,code,spimdisasm-explicit-size-before-first-data
func_00103BF0,0x00103BF0,0x10,0x00103C00,code,spimdisasm-explicit-size-before-first-data
func_00103C00,0x00103C00,0x10,0x00103C10,code,spimdisasm-explicit-size-before-first-data
func_00103C10,0x00103C10,0x10,0x00103C20,code,spimdisasm-explicit-size-before-first-data
func_00103C20,0x00103C20,0x10,0x00103C30,code,spimdisasm-explicit-size-before-first-data
func_00103C30,0x00103C30,0x10,0x00103C40,code,spimdisasm-explicit-size-before-first-data
func_00103C40,0x00103C40,0x10,0x00103C50,code,spimdisasm-explicit-size-before-first-data
func_00103C50,0x00103C50,0x10,0x00103C60,code,spimdisasm-explicit-size-before-first-data
func_00103C60,0x00103C60,0x10,0x00103C70,code,spimdisasm-explicit-size-before-first-data
func_00103C70,0x00103C70,0x10,0x00103C80,code,spimdisasm-explicit-size-before-first-data
func_00103C80,0x00103C80,0x10,0x00103C90,code,spimdisasm-explicit-size-before-first-data
func_00103C90,0x00103C90,0x10,0x00103CA0,code,spimdisasm-explicit-size-before-first-data
func_00103CA0,0x00103CA0,0x10,0x00103CB0,code,spimdisasm-explicit-size-before-first-data
func_00103CB0,0x00103CB0,0x10,0x00103CC0,code,spimdisasm-explicit-size-before-first-data
func_00103CC0,0x00103CC0,0x10,0x00103CD0,code,spimdisasm-explicit-size-before-first-data
func_00103CD0,0x00103CD0,0x10,0x00103CE0,code,spimdisasm-explicit-size-before-first-data
func_00103CE0,0x00103CE0,0x10,0x00103CF0,code,spimdisasm-explicit-size-before-first-data
func_00103CF0,0x00103CF0,0x10,0x00103D00,code,spimdisasm-explicit-size-before-first-data
func_00103D00,0x00103D00,0x10,0x00103D10,code,spimdisasm-explicit-size-before-first-data
func_00103D10,0x00103D10,0x10,0x00103D20,code,spimdisasm-explicit-size-before-first-data
func_00103D20,0x00103D20,0x10,0x00103D30,code,spimdisasm-explicit-size-before-first-data
func_00103D30,0x00103D30,0x10,0x00103D40,code,spimdisasm-explicit-size-before-first-data
func_00103D40,0x00103D40,0x10,0x00103D50,code,spimdisasm-explicit-size-before-first-data
func_00103D50,0x00103D50,0x10,0x00103D60,code,spimdisasm-explicit-size-before-first-data
func_00103D60,0x00103D60,0x10,0x00103D70,code,spimdisasm-explicit-size-before-first-data
